Antecedent,Consequent,Lift
Prawns,Ginger,1.0576
Apples,Oranges,1.0543
Oranges,Apples,1.0543
Bell Peppers,lamb,1.0535
lamb,Bell Peppers,1.0535
Bell Peppers,Chicken Breast,1.0535
Chicken Breast,Bell Peppers,1.0535
Oranges,Grapes,1.0526
Grapes,Oranges,1.0526
Lemons,Garlic,1.0512
Garlic,Lemons,1.0512
Cottage cheese,Tomatoes,1.0499
Tomatoes,Cottage cheese,1.0499
Onions,Oranges,1.0488
Oranges,Onions,1.0488
Apples,Ginger,1.0452
Ginger,Apples,1.0452
Prawns,Grapes,1.045
Grapes,Prawns,1.045
Oranges,lamb,1.0443
lamb,Oranges,1.0443
Fresh Fish Fillets,Apples,1.0432
Apples,Fresh Fish Fillets,1.0432
Dishwashing Liquid,cheese,1.0432
cheese,Dishwashing Liquid,1.0432
Prawns,Cucumber,1.0427
Cucumber,Prawns,1.0427
Cottage cheese,Chicken Breast,1.0425
Chicken Breast,Cottage cheese,1.0425
Prawns,Dishwashing Liquid,1.0395
Dishwashing Liquid,Prawns,1.0395
Bell Peppers,Ginger,1.0389
Ginger,Bell Peppers,1.0389
Full-Cream Milk,Butter,1.0384
Butter,Full-Cream Milk,1.0384
Spinach,Eggs,1.0373
Eggs,Spinach,1.0373
lamb,Onions,1.0352
Onions,lamb,1.0352
Oranges,cheese,1.0344
cheese,Oranges,1.0344
Tomatoes,Full-Cream Milk,1.0338
Full-Cream Milk,Bananas,1.0338
Full-Cream Milk,Tomatoes,1.0338
Bananas,Full-Cream Milk,1.0338
Prawns,Garlic,1.0323
Garlic,Prawns,1.0323
cheese,Garlic,1.0318
Garlic,cheese,1.0318
Ginger,Broccoli,1.0317
Broccoli,Ginger,1.0317
Prawns,Cottage cheese,1.0307
Cottage cheese,Prawns,1.0307
Butter,Eggs,1.0288
Eggs,Cucumber,1.0288
Cucumber,Eggs,1.0288
Eggs,Butter,1.0288
Apples,Eggs,1.0273
Eggs,Apples,1.0273
Broccoli,All-Purpose Surface Cleaner,1.0272
All-Purpose Surface Cleaner,Broccoli,1.0272
Potatoes,Sponges/Scrubbers,1.0261
Sponges/Scrubbers,Potatoes,1.0261
Carrots,Eggs,1.0256
Eggs,Carrots,1.0256
Butter,Bananas,1.0243
Bananas,Butter,1.0243
Dishwashing Liquid,Cucumber,1.0239
Cucumber,Dishwashing Liquid,1.0239
sunflower oil,Eggs,1.0239
Eggs,sunflower oil,1.0239
Full-Cream Milk,lamb,1.0236
lamb,Full-Cream Milk,1.0236
Fresh Fish Fillets,cheese,1.0235
cheese,Fresh Fish Fillets,1.0235
cheese,Laundry Detergent,1.0235
Laundry Detergent,cheese,1.0235
Garlic,Full-Cream Milk,1.0222
Full-Cream Milk,Garlic,1.0222
cheese,Prawns,1.0199
Prawns,cheese,1.0199
Apples,All-Purpose Surface Cleaner,1.0198
All-Purpose Surface Cleaner,Apples,1.0198
Sponges/Scrubbers,Carrots,1.0194
Carrots,Sponges/Scrubbers,1.0194
Butter,Carrots,1.0185
Carrots,Butter,1.0185
sunflower oil,Potatoes,1.0163
Potatoes,sunflower oil,1.0163
Full-Cream Milk,Ginger,1.0158
Ginger,Full-Cream Milk,1.0158
Cottage cheese,Garlic,1.0152
Garlic,Cottage cheese,1.0152
Bananas,Lemons,1.0149
Lemons,Bananas,1.0149
Broccoli,Eggs,1.0141
Eggs,Broccoli,1.0141
sunflower oil,Bananas,1.014
Bananas,sunflower oil,1.014
Full-Cream Milk,Fresh Fish Fillets,1.0139
Fresh Fish Fillets,Full-Cream Milk,1.0139
Greek Yogurt,Apples,1.0121
Apples,Greek Yogurt,1.0121
cheese,Chicken Breast,1.0108
Chicken Breast,cheese,1.0108
Grapes,Potatoes,1.0081
Potatoes,Grapes,1.0081
Laundry Detergent,Eggs,1.0079
Eggs,Laundry Detergent,1.0079
Lemons,Oranges,1.006
Oranges,Lemons,1.006
Broccoli,Cottage cheese,1.0055
Cottage cheese,Broccoli,1.0055
Tomatoes,cheese,1.0018
cheese,Tomatoes,1.0018
cheese,Bananas,1.0018
Bananas,cheese,1.0018
Apples,sunflower oil,1.0016
sunflower oil,Apples,1.0016
Chicken Breast,Prawns,1.001
Prawns,Chicken Breast,1.001
cheese,All-Purpose Surface Cleaner,1.0006
All-Purpose Surface Cleaner,cheese,1.0006
